layer,position,token,pearson,r2,accuracy,mse
0,0,Ġand,0.9971650253022869,0.7020628456362907,0.0,22.06806629915852
0,1,Ġ,0.993886415327264,0.8365800396164852,0.0033333333333333335,12.104440374518603
0,2,?Ċ,0.9961680893119703,0.8712198163195765,0.0011111111111111111,9.538688242984595
0,3,Answer,0.9957590590392262,0.7788659984221173,0.0,16.379292533154963
0,4,:,0.9559156000240838,-19.841516522350098,0.0,1543.721424649052
0,5,Ġ,0.9596837219986375,-0.34362084965424944,0.0,99.52137072137315
1,0,Ġand,0.9992816654205674,0.8543286235774881,0.0044444444444444444,10.789811024567006
1,1,Ġ,0.9968702459090306,0.1033261311697109,0.0,66.41621595779088
1,2,?Ċ,0.9993523422198238,0.550874416262693,0.0,33.2665228669796
1,3,Answer,0.9725301363583008,-1.1308234015264782,0.0,157.82909720377103
1,4,:,0.9499303414866964,-1.870639538206218,0.0,212.62693397677498
1,5,Ġ,0.9969224088571138,0.08406636078326768,0.0,67.84277818264098
2,0,Ġand,0.9994461802837696,0.9136557083720918,0.0011111111111111111,6.395481477521473
2,1,Ġ,0.9978259756381808,0.7529669769168073,0.0033333333333333335,18.297620997032283
2,2,?Ċ,0.9955625089759362,0.8519130655509904,0.0022222222222222222,10.968730282865142
2,3,Answer,0.9753385968320394,-0.674629522182679,0.0,124.03902897233615
2,4,:,0.9984990582260358,0.14787180697877844,0.0,63.11673849183082
2,5,Ġ,0.9985787696883685,0.5066204629122453,0.0,36.54439258626059
3,0,Ġand,0.9987085613111589,0.964865843465965,0.008888888888888889,2.602370615420428
3,1,Ġ,0.997233991682152,0.8849770091036581,0.005555555555555556,8.519699379048534
3,2,?Ċ,0.9905891801157567,0.8685574960389004,0.0033333333333333335,9.735885066553063
3,3,Answer,0.9997787566544815,0.2724510458576459,0.0,53.889212274266775
3,4,:,0.998850540872959,-0.2943868176092448,0.0,95.87462889199492
3,5,Ġ,0.9948464452712821,0.8322333340468938,0.0,12.42639883215885
4,0,Ġand,0.9986378173923681,0.9738045967335314,0.012222222222222223,1.9402813229259952
4,1,Ġ,0.998555571712601,0.9186112132691423,0.0077777777777777776,6.028429537163551
4,2,?Ċ,0.9927289713898512,0.8498598620628532,0.0044444444444444444,11.120810109225312
4,3,Answer,0.9977382888976004,0.21991967952333036,0.0,57.780186119159836
4,4,:,0.9995338390376634,-0.46685812010175765,0.0,108.64949796206953
4,5,Ġ,0.9945230585856079,0.7953331179998477,0.005555555555555556,15.159580653400935
5,0,Ġand,0.9985888467946706,0.9808791105266137,0.0011111111111111111,1.4162753802852603
5,1,Ġ,0.9981131372976351,0.9604373675243383,0.012222222222222223,2.9303857664436697
5,2,?Ċ,0.9978164019473963,0.8466773315256733,0.006666666666666667,11.356538664274373
5,3,Answer,0.9965478748278153,0.09213839067429175,0.0,67.24488668708601
5,4,:,0.9972381297671414,-0.6662541019260417,0.0,123.41866549366388
5,5,Ġ,0.9929908186278745,0.8632272549758916,0.0022222222222222222,10.130693540240038
6,0,Ġand,0.9984807619241097,0.9802163701469158,0.008888888888888889,1.4653642516263987
6,1,Ġ,0.9972555869318227,0.9615967414860875,0.0044444444444444444,2.844511476920968
6,2,?Ċ,0.9967789424396749,0.8679237546900371,0.0,9.782825993182714
6,3,Answer,0.9992416021615564,0.3475216513046415,0.0,48.32876748294718
6,4,:,0.9960711764836149,0.20424136836222406,0.0033333333333333335,58.94147132677701
6,5,Ġ,0.9942645828292036,0.7937898320764436,0.0011111111111111111,15.273891123167536
7,0,Ġand,0.9982918055717063,0.9749022987254564,0.006666666666666667,1.858975047492656
7,1,Ġ,0.9982332168686664,0.9766971307532764,0.006666666666666667,1.7260326748960784
7,2,?Ċ,0.9967715984043847,0.9161087773344617,0.0033333333333333335,6.213783801668987
7,3,Answer,0.9992994132945021,0.33672442219006815,0.0,49.12851321609173
7,4,:,0.9926402659936561,0.2989582340632442,0.0,51.925837186071774
7,5,Ġ,0.9952405957692568,0.7694923672746988,0.0022222222222222222,17.073593027723575
8,0,Ġand,0.9983893677081138,0.9650597520643642,0.0044444444444444444,2.588007895824113
8,1,Ġ,0.9972757156470501,0.9637192012287171,0.0033333333333333335,2.6873018720374238
8,2,?Ċ,0.997657487446133,0.9135909096995837,0.0022222222222222222,6.40028108502279
8,3,Answer,0.998351234269636,0.16018269366165627,0.0011111111111111111,62.20487684738642
8,4,:,0.9883760540192911,0.08151987296939034,0.0022222222222222222,68.03139534932723
8,5,Ġ,0.9960315349053157,0.8823904601407951,0.0022222222222222222,8.71128385638699
9,0,Ġand,0.9981325907477343,0.9630829850439984,0.0022222222222222222,2.734426108606568
9,1,Ġ,0.997071401348093,0.9584585943781366,0.0044444444444444444,3.0769525720326953
9,2,?Ċ,0.9971760408345222,0.9200656341824337,0.0044444444444444444,5.920701257318952
9,3,Answer,0.9951297413784679,0.5688360303202286,0.0022222222222222222,31.93611447696822
9,4,:,0.9907729681178937,0.4275192827997828,0.0011111111111111111,42.40338016634781
9,5,Ġ,0.9960854627756103,0.8792589254032349,0.006666666666666667,8.94323517630272
10,0,Ġand,0.9975821807739831,0.966244774159431,0.0044444444444444444,2.5002338610087778
10,1,Ġ,0.9975485439685583,0.9635948733350509,0.0033333333333333335,2.6965107812321176
10,2,?Ċ,0.9989076002551178,0.8408138836177372,0.0011111111111111111,11.790841520695
10,3,Answer,0.9874028456977374,0.6409378013170328,0.0011111111111111111,26.59556987103493
10,4,:,0.9856535460071605,0.6056542352423315,0.0011111111111111111,29.20900718156492
